Packet Index,Category,Confidence,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6
1548,LABEL_1,0.5432424545288086,1549,59.256912,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1549,LABEL_1,0.54327392578125,1550,59.269057,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
1550,LABEL_1,0.543206512928009,1551,59.269089,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=37829 Win=512 Len=0
1551,LABEL_1,0.5418214201927185,1552,59.307071,172.31.254.9,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 7d1c3b6e-1a87-4e36-8159-6bfaac47fd73.local"
1552,LABEL_1,0.5426027178764343,1553,59.322952,172.31.254.61,64.233.165.138,TCP,54,"55970  >  443 [RST, ACK] Seq=518 Ack=1 Win=0 Len=0"
1553,LABEL_1,0.5433233380317688,1554,59.359156,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1554,LABEL_1,0.5432815551757812,1555,59.370603,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1555,LABEL_1,0.5432241559028625,1556,59.370640,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=37929 Win=512 Len=0
1556,LABEL_1,0.5432835817337036,1557,59.459252,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1557,LABEL_1,0.5432708263397217,1558,59.490768,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1558,LABEL_1,0.5430896878242493,1559,59.490827,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38028 Win=512 Len=0
1559,LABEL_1,0.5431200265884399,1560,59.722563,172.31.254.61,64.233.161.188,TCP,55,[TCP Keep-Alive] 54193  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1
1560,LABEL_1,0.5432690978050232,1561,59.772180,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1561,LABEL_1,0.5432232618331909,1562,59.796527,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1562,LABEL_1,0.543065071105957,1563,59.796569,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38130 Win=511 Len=0
1563,LABEL_1,0.5431192517280579,1564,59.806602,64.233.161.188,172.31.254.61,TCP,66,[TCP Keep-Alive ACK] 443  >  54193 [ACK] Seq=1 Ack=2 Win=1051 Len=0 SLE=1 SRE=2
1564,LABEL_1,0.5433520674705505,1565,59.817600,104.18.26.90,172.31.254.61,TLSv1.2,121,Application Data
1565,LABEL_1,0.543333888053894,1566,59.832648,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1566,LABEL_1,0.5430684089660645,1567,59.832703,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38249 Win=511 Len=0
1567,LABEL_1,0.5432726740837097,1568,59.846405,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1568,LABEL_1,0.543256402015686,1569,59.863810,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1569,LABEL_1,0.5430881977081299,1570,59.863850,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38350 Win=510 Len=0
1570,LABEL_1,0.5432841777801514,1571,59.878673,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1571,LABEL_1,0.5432577729225159,1572,59.890840,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1572,LABEL_1,0.5430635809898376,1573,59.890861,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38453 Win=510 Len=0
1573,LABEL_1,0.5427600741386414,1574,59.893515,172.31.254.61,13.107.5.93,TCP,54,"55975  >  443 [FIN, ACK] Seq=1477 Ack=7344 Win=130560 Len=0"
1574,LABEL_1,0.5433304905891418,1575,59.950791,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1575,LABEL_1,0.5432696342468262,1576,59.964487,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
1576,LABEL_1,0.5430848598480225,1577,59.964531,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38558 Win=515 Len=0
1577,LABEL_1,0.543180525302887,1578,59.983726,13.107.5.93,172.31.254.61,TCP,60,443  >  55975 [ACK] Seq=7344 Ack=1478 Win=4195584 Len=0
1578,LABEL_1,0.5427601933479309,1579,59.983768,13.107.5.93,172.31.254.61,TCP,60,"443  >  55975 [FIN, ACK] Seq=7344 Ack=1478 Win=4195584 Len=0"
1579,LABEL_1,0.543258786201477,1580,59.983800,172.31.254.61,13.107.5.93,TCP,54,55975  >  443 [ACK] Seq=1478 Ack=7345 Win=130560 Len=0
1580,LABEL_1,0.5432204008102417,1581,60.065020,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1581,LABEL_1,0.5433209538459778,1582,60.076426,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1582,LABEL_1,0.5432089567184448,1583,60.076463,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38658 Win=514 Len=0
1583,LABEL_1,0.5433310866355896,1584,60.142876,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1584,LABEL_1,0.5434459447860718,1585,60.155842,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1585,LABEL_1,0.5432508587837219,1586,60.155879,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38757 Win=514 Len=0
1586,LABEL_1,0.5434966683387756,1587,60.244230,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1587,LABEL_1,0.5433891415596008,1588,60.258163,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1588,LABEL_1,0.5432279706001282,1589,60.258205,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38859 Win=514 Len=0
1589,LABEL_1,0.5423131585121155,1590,60.305651,172.31.254.9,224.0.0.251,MDNS,171,"Standard query response 0x0000 A, cache flush 172.31.254.9 NSEC, cache flush 8b9d73ba-c4c0-451c-af51-bb26c5f4e226.local"
1590,LABEL_1,0.5432882905006409,1591,60.347590,104.18.26.90,172.31.254.61,TLSv1.2,121,Application Data
1591,LABEL_1,0.5432625412940979,1592,60.356691,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1592,LABEL_1,0.5431609153747559,1593,60.356722,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=38978 Win=513 Len=0
1593,LABEL_1,0.543331503868103,1594,60.443694,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1594,LABEL_1,0.5432482957839966,1595,60.460025,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1595,LABEL_1,0.5430631637573242,1596,60.460066,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39081 Win=513 Len=0
1596,LABEL_1,0.5432700514793396,1597,60.550558,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1597,LABEL_1,0.5432052612304688,1598,60.562121,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1598,LABEL_1,0.5433028340339661,1599,60.562173,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39181 Win=512 Len=0
1599,LABEL_1,0.5434514284133911,1600,60.642936,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1600,LABEL_1,0.5433392524719238,1601,60.654855,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1601,LABEL_1,0.5432950854301453,1602,60.654888,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39283 Win=512 Len=0
1602,LABEL_1,0.5433429479598999,1603,60.744481,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1603,LABEL_1,0.5431568026542664,1604,60.791344,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39336 Win=512 Len=0
1604,LABEL_1,0.5433600544929504,1605,60.831639,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1605,LABEL_1,0.5433626770973206,1606,60.842882,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1606,LABEL_1,0.5432223081588745,1607,60.842919,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39436 Win=511 Len=0
1607,LABEL_1,0.5432462692260742,1608,60.853431,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1608,LABEL_1,0.5431748628616333,1609,60.908527,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39486 Win=511 Len=0
1609,LABEL_1,0.5432673096656799,1610,60.933764,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1610,LABEL_1,0.5418848991394043,1611,60.936265,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
1611,LABEL_1,0.5433946251869202,1612,60.944968,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1612,LABEL_1,0.5431263446807861,1613,60.945011,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39590 Win=511 Len=0
1613,LABEL_1,0.5432579517364502,1614,61.029466,104.18.26.90,172.31.254.61,TLSv1.2,117,Application Data
1614,LABEL_1,0.5431861877441406,1615,61.041348,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1615,LABEL_1,0.5432413220405579,1616,61.041383,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39706 Win=510 Len=0
1616,LABEL_1,0.5434008836746216,1617,61.129707,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1617,LABEL_1,0.5433624386787415,1618,61.140049,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1618,LABEL_1,0.5433493852615356,1619,61.140076,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39809 Win=510 Len=0
1619,LABEL_1,0.5433152318000793,1620,61.234336,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
1620,LABEL_1,0.5434650182723999,1621,61.250212,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1621,LABEL_1,0.543437659740448,1622,61.250265,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=39915 Win=510 Len=0
1622,LABEL_1,0.5422786474227905,1623,61.307130,172.31.254.9,224.0.0.251,MDNS,171,"Standard query response 0x0000 A, cache flush 172.31.254.9 NSEC, cache flush 8b9d73ba-c4c0-451c-af51-bb26c5f4e226.local"
1623,LABEL_1,0.5433271527290344,1624,61.330706,104.18.26.90,172.31.254.61,TLSv1.2,121,Application Data
1624,LABEL_1,0.5432271957397461,1625,61.344606,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1625,LABEL_1,0.5433618426322937,1626,61.344641,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40034 Win=515 Len=0
1626,LABEL_1,0.5432471036911011,1627,61.431678,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1627,LABEL_1,0.5432255268096924,1628,61.442810,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1628,LABEL_1,0.5432827472686768,1629,61.442833,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40135 Win=514 Len=0
1629,LABEL_1,0.5414857268333435,1630,61.469663,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
1630,LABEL_1,0.5432357788085938,1631,61.528960,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1631,LABEL_1,0.5431294441223145,1632,61.539865,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1632,LABEL_1,0.5431775450706482,1633,61.539898,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40238 Win=514 Len=0
1633,LABEL_1,0.5432600975036621,1634,61.608750,172.31.254.61,173.194.220.106,TCP,55,[TCP Keep-Alive] 55574  >  443 [ACK] Seq=1 Ack=1 Win=4118 Len=1
1634,LABEL_1,0.543216347694397,1635,61.628909,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1635,LABEL_1,0.5432168841362,1636,61.642669,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
1636,LABEL_1,0.5431745052337646,1637,61.642691,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40343 Win=514 Len=0
1637,LABEL_1,0.5434707403182983,1638,61.692743,173.194.220.106,172.31.254.61,TCP,66,[TCP Keep-Alive ACK] 443  >  55574 [ACK] Seq=1 Ack=2 Win=4026 Len=0 SLE=1 SRE=2
1638,LABEL_1,0.5433692932128906,1639,61.725749,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1639,LABEL_1,0.5433736443519592,1640,61.737507,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1640,LABEL_1,0.5432361364364624,1641,61.737542,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40441 Win=513 Len=0
1641,LABEL_1,0.5433937311172485,1642,62.181628,108.177.14.102,172.31.254.61,TLSv1.2,127,Application Data
1642,LABEL_1,0.5429883599281311,1643,62.181865,172.31.254.61,108.177.14.102,TCP,54,"55896  >  443 [FIN, ACK] Seq=2 Ack=74 Win=510 Len=0"
1643,LABEL_1,0.5435439944267273,1644,62.206600,74.125.131.139,172.31.254.61,TLSv1.2,127,Application Data
1644,LABEL_1,0.5429770946502686,1645,62.206790,172.31.254.61,74.125.131.139,TCP,54,"55898  >  443 [FIN, ACK] Seq=2 Ack=74 Win=512 Len=0"
1645,LABEL_1,0.5433087348937988,1646,62.209845,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1646,LABEL_1,0.5433410406112671,1647,62.237364,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1647,LABEL_1,0.5433311462402344,1648,62.237396,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40541 Win=513 Len=0
1648,LABEL_1,0.5434558391571045,1649,62.256230,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1649,LABEL_1,0.5428550839424133,1650,62.262620,108.177.14.102,172.31.254.61,TCP,60,"443  >  55896 [FIN, ACK] Seq=74 Ack=3 Win=1045 Len=0"
1650,LABEL_1,0.543310284614563,1651,62.262662,172.31.254.61,108.177.14.102,TCP,54,55896  >  443 [ACK] Seq=3 Ack=75 Win=510 Len=0
1651,LABEL_1,0.543303906917572,1652,62.274900,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1652,LABEL_1,0.5432188510894775,1653,62.274934,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3224 Ack=40642 Win=512 Len=0
1653,LABEL_1,0.543390691280365,1654,62.276235,172.31.254.61,104.18.26.90,TLSv1.2,89,Application Data
1654,LABEL_1,0.5432854890823364,1655,62.289740,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1655,LABEL_1,0.5428627133369446,1656,62.290939,74.125.131.139,172.31.254.61,TCP,60,"443  >  55898 [FIN, ACK] Seq=74 Ack=3 Win=1044 Len=0"
1656,LABEL_1,0.5433014631271362,1657,62.290977,172.31.254.61,74.125.131.139,TCP,54,55898  >  443 [ACK] Seq=3 Ack=75 Win=512 Len=0
1657,LABEL_1,0.5421040654182434,1658,62.308626,172.31.254.9,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 477e6655-0482-4041-a25e-98e378672de5.local"
1658,LABEL_1,0.5432928800582886,1659,62.311203,104.18.26.90,172.31.254.61,TLSv1.2,121,Application Data
1659,LABEL_1,0.5433191061019897,1660,62.311241,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3259 Ack=40759 Win=512 Len=0
1660,LABEL_1,0.5432891845703125,1661,62.321782,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1661,LABEL_1,0.5432478785514832,1662,62.338939,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1662,LABEL_1,0.5431655049324036,1663,62.338986,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3259 Ack=40861 Win=512 Len=0
1663,LABEL_1,0.5432825684547424,1664,62.354446,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1664,LABEL_1,0.5433008670806885,1665,62.371118,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1665,LABEL_1,0.543324887752533,1666,62.371179,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3259 Ack=40965 Win=511 Len=0
1666,LABEL_1,0.5432796478271484,1667,62.380767,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1667,LABEL_1,0.5432908535003662,1668,62.392487,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1668,LABEL_1,0.5431616306304932,1669,62.392520,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3259 Ack=41065 Win=511 Len=0
1669,LABEL_1,0.5433832406997681,1670,62.522723,104.18.26.90,172.31.254.61,TLSv1.2,127,Application Data
1670,LABEL_1,0.5433100461959839,1671,62.537940,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1671,LABEL_1,0.5431835651397705,1672,62.537983,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3259 Ack=41187 Win=510 Len=0
1672,LABEL_1,0.5432550311088562,1673,62.547828,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1673,LABEL_1,0.5433204174041748,1674,62.592164,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3259 Ack=41237 Win=510 Len=0
1674,LABEL_1,0.5432330965995789,1675,62.613587,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1675,LABEL_1,0.54329913854599,1676,62.616324,172.31.254.61,104.18.26.90,TLSv1.2,89,Application Data
1676,LABEL_1,0.5432758331298828,1677,62.694807,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1677,LABEL_1,0.543274998664856,1678,62.713500,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1678,LABEL_1,0.5431029200553894,1679,62.713555,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41388 Win=510 Len=0
1679,LABEL_1,0.5433372855186462,1680,62.728178,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1680,LABEL_1,0.5431884527206421,1681,62.774804,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41438 Win=515 Len=0
1681,LABEL_1,0.543298065662384,1682,62.802507,104.18.26.90,172.31.254.61,TLSv1.2,121,Application Data
1682,LABEL_1,0.5432921051979065,1683,62.814356,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1683,LABEL_1,0.5432543754577637,1684,62.814390,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41557 Win=514 Len=0
1684,LABEL_1,0.5434409976005554,1685,62.900905,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1685,LABEL_1,0.5432993173599243,1686,62.913235,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1686,LABEL_1,0.5431804060935974,1687,62.913290,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41660 Win=514 Len=0
1687,LABEL_1,0.541844367980957,1688,62.936419,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
1688,LABEL_1,0.5428481698036194,1689,62.991552,172.31.254.61,13.107.5.93,TCP,54,"55976  >  443 [FIN, ACK] Seq=1469 Ack=8796 Win=131840 Len=0"
1689,LABEL_1,0.543106734752655,1690,63.004612,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1690,LABEL_1,0.5432630181312561,1691,63.023113,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1691,LABEL_1,0.5432344675064087,1692,63.023163,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41760 Win=514 Len=0
1692,LABEL_1,0.5433008670806885,1693,63.081931,13.107.5.93,172.31.254.61,TCP,60,443  >  55976 [ACK] Seq=8796 Ack=1470 Win=4195584 Len=0
1693,LABEL_1,0.5428150296211243,1694,63.081974,13.107.5.93,172.31.254.61,TCP,60,"443  >  55976 [FIN, ACK] Seq=8796 Ack=1470 Win=4195584 Len=0"
1694,LABEL_1,0.543415904045105,1695,63.082006,172.31.254.61,13.107.5.93,TCP,54,55976  >  443 [ACK] Seq=1470 Ack=8797 Win=131840 Len=0
1695,LABEL_1,0.5433699488639832,1696,63.100451,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1696,LABEL_1,0.5433760285377502,1697,63.111462,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1697,LABEL_1,0.5432503819465637,1698,63.111499,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41859 Win=513 Len=0
1698,LABEL_1,0.5437662601470947,1699,63.123549,172.31.254.6,255.255.255.255,UDP,82,60513  >  1947 Len=40
1699,LABEL_1,0.5434884428977966,1700,63.123659,172.31.254.6,172.31.254.255,UDP,82,60512  >  1947 Len=40
1700,LABEL_1,0.5433263182640076,1701,63.296731,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1701,LABEL_1,0.5421180725097656,1702,63.308443,172.31.254.9,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush 477e6655-0482-4041-a25e-98e378672de5.local"
1702,LABEL_1,0.5433425903320312,1703,63.317509,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1703,LABEL_1,0.5432244539260864,1704,63.317535,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=41960 Win=513 Len=0
1704,LABEL_1,0.5433309078216553,1705,63.319936,104.18.26.90,172.31.254.61,TLSv1.2,116,Application Data
1705,LABEL_1,0.5433011651039124,1706,63.332691,104.18.26.90,172.31.254.61,TLSv1.2,113,Application Data
1706,LABEL_1,0.5431420803070068,1707,63.332717,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42081 Win=512 Len=0
1707,LABEL_1,0.5432032346725464,1708,63.432828,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
1708,LABEL_1,0.543310284614563,1709,63.452256,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1709,LABEL_1,0.5432687997817993,1710,63.452302,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42186 Win=512 Len=0
1710,LABEL_1,0.5432804226875305,1711,63.556726,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1711,LABEL_1,0.5431763529777527,1712,63.565937,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1712,LABEL_1,0.5431399941444397,1713,63.565985,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42289 Win=511 Len=0
1713,LABEL_1,0.5432839393615723,1714,63.597121,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1714,LABEL_1,0.5432736277580261,1715,63.609352,104.18.26.90,172.31.254.61,TLSv1.2,107,Application Data
1715,LABEL_1,0.5431598424911499,1716,63.609381,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42394 Win=511 Len=0
1716,LABEL_1,0.5433116555213928,1717,63.696308,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1717,LABEL_1,0.5431820750236511,1718,63.740495,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42443 Win=511 Len=0
1718,LABEL_1,0.5433140993118286,1719,63.800613,104.18.26.90,172.31.254.61,TLSv1.2,109,Application Data
1719,LABEL_1,0.5432860255241394,1720,63.807950,104.18.26.90,172.31.254.61,TLSv1.2,116,Application Data
1720,LABEL_1,0.5429880619049072,1721,63.807980,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42560 Win=510 Len=0
1721,LABEL_1,0.5433844327926636,1722,63.884871,104.18.26.90,172.31.254.61,TLSv1.2,108,Application Data
1722,LABEL_1,0.5432682037353516,1723,63.895799,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1723,LABEL_1,0.5431147813796997,1724,63.895849,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42664 Win=510 Len=0
1724,LABEL_1,0.5429887771606445,1725,63.942482,172.31.254.61,64.233.165.138,TCP,571,"[TCP Retransmission] 55974  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131840 Len=517"
1725,LABEL_1,0.5433016419410706,1726,63.987150,104.18.26.90,172.31.254.61,TLSv1.2,103,Application Data
1726,LABEL_1,0.5432964563369751,1727,63.999361,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1727,LABEL_1,0.5430688858032227,1728,63.999410,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42764 Win=510 Len=0
1728,LABEL_1,0.5432633757591248,1729,64.161232,172.31.254.61,77.88.8.8,DNS,79,Standard query 0x49ab A main.vscode-cdn.net
1729,LABEL_1,0.5428512096405029,1730,64.161255,172.31.254.61,77.88.8.8,DNS,79,Standard query 0x5bcc Unknown (65) main.vscode-cdn.net
1730,LABEL_1,0.543413519859314,1731,64.170401,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1731,LABEL_1,0.5434004664421082,1732,64.179673,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
1732,LABEL_1,0.5431575179100037,1733,64.179720,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42867 Win=515 Len=0
1733,LABEL_1,0.5434799790382385,1734,64.190046,104.18.26.90,172.31.254.61,TLSv1.2,104,Application Data
1734,LABEL_1,0.543365478515625,1735,64.202654,104.18.26.90,172.31.254.61,TLSv1.2,105,Application Data
1735,LABEL_1,0.5432862639427185,1736,64.202677,172.31.254.61,104.18.26.90,TCP,54,55471  >  443 [ACK] Seq=3294 Ack=42968 Win=514 Len=0
1736,LABEL_1,0.5432586073875427,1737,64.237641,77.88.8.8,172.31.254.61,DNS,249,Standard query response 0x49ab A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME shed.dual-low.s-part-0017.t-0009.t-msedge.net CNAME s-part-0017.t-0009.t-msedge.net A 13.107.246.45
1737,LABEL_1,0.5426482558250427,1738,64.241145,77.88.8.8,172.31.254.61,DNS,279,Standard query response 0x5bcc Unknown (65) main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME shed.dual-low.s-part-0017.t-0009.t-msedge.net SOA ns1.t-msedge.net
1738,LABEL_1,0.543458104133606,1739,64.241694,172.31.254.61,13.107.246.45,TCP,66,55977  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1739,LABEL_1,0.5433222651481628,1740,64.287790,104.18.26.90,172.31.254.61,TLSv1.2,106,Application Data
